InitialBasket	SecondBasket	TotalFrequency	Support	Confidence	Lift
Homecoming	Born to Run	1	0.05	100	19.84
Homecoming	Dave	1	0.05	100	19.84
Homecoming	Everlasting Love	1	0.05	100	19.84
Homecoming	Fire + Water	1	0.05	100	19.84
Homecoming	God Part II	1	0.05	100	19.84
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again	A Novidade (Live)	1	0.05	100	19.84
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again	Aquele Abraço	1	0.05	100	19.84
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again	Fly Me To The Moon	1	0.05	100	19.84
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again	Forty Days Instrumental	1	0.05	100	19.84
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again	Funk Hum	1	0.05	100	19.84
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again	Holiday	1	0.05	100	19.84
Homely Girl	Ain't Talkin' 'bout Love	1	0.05	100	19.84
Homely Girl	Bring Me Your Cup	1	0.05	100	19.84
Homely Girl	Can't Stop Loving You	1	0.05	100	19.84
Homely Girl	Hang 'Em High	1	0.05	100	19.84
Homem Primata	Caras Como Eu	1	0.05	100	19.84
Homem Primata	Exodus, Pt. 2	1	0.05	100	19.84
Homem Primata	Formigueiro	1	0.05	100	19.84
Homem Primata (Vinheta)	Balanço	1	0.05	100	19.84
Homem Primata (Vinheta)	Cabeça Dinossauro	1	0.05	100	19.84
Homem Primata (Vinheta)	Comida	1	0.05	100	19.84
Homem Primata (Vinheta)	Flores	1	0.05	100	19.84
Honolulu	American Woman	1	0.05	100	19.84
Honolulu	Brumário	1	0.05	100	19.84
Honolulu	De Noite Na Cama	1	0.05	100	19.84
Honolulu	Dezesseis	1	0.05	100	9.92
Honolulu	Heavy Love Affair	1	0.05	100	19.84
Hooked Up	Children of the Damned	1	0.05	100	19.84
Hooked Up	Futureal	1	0.05	100	19.84
Hot Dog	Black Dog	1	0.05	100	9.92
Hot Girl	Atomic Punk	1	0.05	100	19.84
Hot Girl	Camarão que Dorme e Onda Leva	1	0.05	100	19.84
Hot Girl	Coração Em Desalinho	1	0.05	100	19.84
Hot Girl	Dirty Water Dog	1	0.05	100	19.84
Hot Girl	Do It For The Kids	1	0.05	100	19.84
Hot Girl	Email Surveillance	1	0.05	100	19.84
Hot Rockin'	Charles Anjo 45	1	0.05	100	19.84
Hot Rockin'	Fire	1	0.05	100	19.84
Hot Rockin'	Highway Chile	1	0.05	100	19.84
Hots On For Nowhere	Boogie With Stu	1	0.05	100	19.84
Hots On For Nowhere	Bron-Y-Aur Stomp	1	0.05	100	19.84
Hots On For Nowhere	Down By The Seaside	1	0.05	100	19.84
Hots On For Nowhere	For Your Life	1	0.05	100	19.84
House of the Rising Sun	"""?"""	1	0.05	100	19.84
House of the Rising Sun	Acrobat	1	0.05	100	19.84
House of the Rising Sun	Catch-22	1	0.05	100	19.84
House of the Rising Sun	Company Man	1	0.05	100	19.84
House of the Rising Sun	Crossroads, Pt. 1	1	0.05	100	19.84
House of the Rising Sun	Dancing Barefoot	1	0.05	100	19.84
House of the Rising Sun	Enter 77	1	0.05	100	19.84
House of the Rising Sun	Even Better Than The Real Thing	1	0.05	100	19.84
House of the Rising Sun	Exposé	1	0.05	100	19.84
Houses Of The Holy	Black Satin	1	0.05	100	19.84
Houses Of The Holy	Blue Rythm Fantasy	1	0.05	100	19.84
Houses Of The Holy	Bop Boogie	1	0.05	100	19.84
Houses Of The Holy	Chão De Estrelas	1	0.05	100	19.84
Houses Of The Holy	El Farol	1	0.05	100	19.84
Houses Of The Holy	Fora Da Ordem	1	0.05	100	19.84
How to Stop an Exploding Man	Christmas Party	1	0.05	100	19.84
How to Stop an Exploding Man	Dirty Little Thing	1	0.05	100	19.84
How to Stop an Exploding Man	Diwali	1	0.05	100	19.84
How to Stop an Exploding Man	Here I Go Again	1	0.05	100	19.84
Humans Being	Atomic Punk	1	0.05	100	19.84
Humans Being	Camarão que Dorme e Onda Leva	1	0.05	100	19.84
Humans Being	Coração Em Desalinho	1	0.05	100	19.84
Humans Being	Dirty Water Dog	1	0.05	100	19.84
Humans Being	Do It For The Kids	1	0.05	100	19.84
Humans Being	Email Surveillance	1	0.05	100	19.84
Humans Being	Hot Girl	1	0.05	100	19.84
Hush	A Touch Away	1	0.05	100	19.84
Hypnotize	A.N.D.R.O.T.A.Z.	1	0.05	100	19.84
Hypnotize	Canta, Canta Mais	1	0.05	100	19.84
Hypnotize	Chemical Wedding	1	0.05	100	19.84
Hypnotize	Cochise	1	0.05	100	19.84
Hypnotize	Do what cha wanna	1	0.05	100	19.84
Hypnotize	Drown Me Slowly	1	0.05	100	19.84
Hypnotize	Good Golly Miss Molly	1	0.05	100	9.92
Hysteria	A Twist In The Tail	1	0.05	100	19.84
Hysteria	Animal	1	0.05	100	9.92
Hysteria	Açai	1	0.05	100	19.84
Hysteria	Baltimore, DC	1	0.05	100	19.84
Hysteria	Esquinas	1	0.05	100	19.84
Hysteria	Fascinação	1	0.05	100	19.84
Hysteria	Fortuneteller	1	0.05	100	19.84
Hysteria	Hey Cisco	1	0.05	100	19.84
Hysteria	High Ball Shooter	1	0.05	100	19.84
I Believe	Country Feedback	1	0.05	100	19.84
I Believe	Endgame	1	0.05	100	19.84
I Believe	Green Grow The Rushes	1	0.05	100	19.84
I Belong To You	A Cura	1	0.05	100	19.84
I Belong To You	A Menina Dança	1	0.05	100	19.84
I Belong To You	Abraham, Martin And John	1	0.05	100	19.84
I Belong To You	Aloha	1	0.05	100	19.84
I Belong To You	Casa	1	0.05	100	19.84
I Belong To You	Cérebro Eletrônico	1	0.05	100	19.84
I Belong To You	Everything I Need	1	0.05	100	19.84
I Belong To You	Heart Of Lothian: Wide Boy / Curtain Call	1	0.05	100	19.84
I Can See For Miles	Baba O'Riley	1	0.05	100	19.84
I Can't Explain	Baba O'Riley	1	0.05	50	9.92
I Can't Explain	Chapa o Coco	1	0.05	50	9.92
I Can't Explain	Danny Boy, Danny Boy	1	0.05	50	9.92
I Can't Explain	Funk de Bamba	1	0.05	50	9.92
I Can't Explain	I Can See For Miles	1	0.05	50	9.92
I Can't Quit You Baby	Dazed and Confused	1	0.05	100	9.92
I Can't Quit You Baby	Friends	1	0.05	100	19.84
I Can't Quit You Baby(2)	Advance Romance	1	0.05	100	19.84
I Can't Quit You Baby(2)	Camisa Verde 2001	1	0.05	100	19.84
I Can't Quit You Baby(2)	Communication Breakdown	1	0.05	100	9.92
I Can't Quit You Baby(2)	Eu Também Quero Beijar	1	0.05	100	19.84
I Can't Quit You Baby(2)	Falar A Verdade	1	0.05	100	19.84
I Can't Quit You Baby(2)	Felicidade Urgente	1	0.05	100	19.84
I Can't Remember	Blind Man	1	0.05	100	19.84
I Can't Remember	Forgiven	1	0.05	100	19.84
I Could Die For You	Around The World	1	0.05	100	19.84
I Could Die For You	Drown	1	0.05	100	19.84
I Could Die For You	Fly By Night	1	0.05	100	19.84
I Could Die For You	For Your Babies	1	0.05	100	19.84
I Could Die For You	Freewill	1	0.05	100	19.84
I Could Have Lied	By The Way	1	0.05	100	19.84
I Could Have Lied	Can't Stop	1	0.05	100	19.84
I Do	Better Halves	1	0.05	100	19.84
I Do	Crossroads, Pt. 2	1	0.05	100	19.84
I Do	Hero	1	0.05	100	19.84
I Don't Know	Crazy Train	1	0.05	100	19.84
I Don't Know	Flying High Again	1	0.05	100	9.92
I Don't Wanna Be Kissed (By Anyone But You)	A Noite Do Meu Bem	1	0.05	100	19.84
I Don't Wanna Be Kissed (By Anyone But You)	Blackened	1	0.05	100	19.84
I Don't Wanna Be Kissed (By Anyone But You)	Brasil	1	0.05	100	9.92
I Feel Good (I Got You) - Sossego	Bora-Bora	1	0.05	100	19.84
I Fucking Hate You	A Paz	1	0.05	100	19.84
I Fucking Hate You	Changes	1	0.05	100	19.84
I Get A Kick Out Of You	A Novidade (Live)	1	0.05	100	19.84
I Get A Kick Out Of You	Aquele Abraço	1	0.05	100	19.84
I Get A Kick Out Of You	Fly Me To The Moon	1	0.05	100	19.84
I Get A Kick Out Of You	Forty Days Instrumental	1	0.05	100	19.84
I Get A Kick Out Of You	Funk Hum	1	0.05	100	19.84
I Get A Kick Out Of You	Holiday	1	0.05	100	19.84
I Get A Kick Out Of You	Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again	1	0.05	100	19.84
I Know Somethin (Bout You)	Blind Man	1	0.05	100	19.84
I Know Somethin (Bout You)	Forgiven	1	0.05	100	19.84
I Know Somethin (Bout You)	I Can't Remember	1	0.05	100	19.84
I Like Dirt	Around The World	1	0.05	100	19.84
I Like Dirt	Drown	1	0.05	100	19.84
I Like Dirt	Fly By Night	1	0.05	100	19.84
I Like Dirt	For Your Babies	1	0.05	100	19.84
I Like Dirt	Freewill	1	0.05	100	19.84
I Like Dirt	I Could Die For You	1	0.05	100	19.84
I Looked At You	Babylon	1	0.05	100	19.84
I Looked At You	Boris The Spider	1	0.05	100	19.84
I Looked At You	De Do Do Do, De Da Da Da	1	0.05	100	19.84
I Need Love	A Touch Away	1	0.05	100	19.84
I Need Love	Hush	1	0.05	100	19.84
I Remember California	Departure	1	0.05	100	19.84
I Still Haven't Found What I'm Looking For	Desire	1	0.05	100	9.92
I Still Haven't Found What I'm Looking for	Freedom For My People	1	0.05	100	19.84
I Still Love You	Going To California	1	0.05	100	19.84
I Want To Break Free	A Kind Of Magic	1	0.05	100	19.84
I Want To Break Free	Astronomy	1	0.05	100	19.84
I Was Made For Loving You	Beth	1	0.05	100	19.84
I Was Made For Loving You	Goin' Blind	1	0.05	100	19.84
I Was Made For Loving You	Hard Luck Woman	1	0.05	100	19.84
I Would Do For You	C'est La Vie	1	0.05	100	19.84
I Would Do For You	Dirty Day	1	0.05	100	19.84
I'm A Boy	Baba O'Riley	1	0.05	100	19.84
I'm A Boy	I Can See For Miles	1	0.05	100	19.84
I'm A Boy	I Can't Explain	1	0.05	100	9.92
I'm Going Slightly Mad	All Star	1	0.05	100	19.84
I'm Going Slightly Mad	Bumbo Da Mangueira	1	0.05	100	19.84
I'm Going Slightly Mad	Dazed and Confused	1	0.05	100	9.92
I'm Going Slightly Mad	Die Die My Darling	1	0.05	100	19.84
I'm Going Slightly Mad	God Of Thunder	1	0.05	100	19.84
I'm Gonna Crawl	Carouselambra	1	0.05	100	19.84
I'm Real	Are You Gonna Be My Girl	1	0.05	100	19.84
I'm Real	As Dores do Mundo	1	0.05	100	19.84
I'm Real	Destitute Illusions	1	0.05	100	19.84
I'm Real	Equinocio	1	0.05	100	19.84
Idolatrada	Dirty Love	1	0.05	100	19.84
If God Will Send His Angels	Do You Feel Loved	1	0.05	100	19.84
If You Don't Know Me By Now	Anthem	1	0.05	100	19.84
If You Don't Know Me By Now	Fica	1	0.05	100	19.84
If You Don't Know Me By Now	Get On Top	1	0.05	100	19.84
If You Have To Ask	Anthem	1	0.05	100	19.84
If You Have To Ask	Fica	1	0.05	100	19.84
If You Have To Ask	Get On Top	1	0.05	100	19.84
If You Have To Ask	If You Don't Know Me By Now	1	0.05	100	19.84
Imagine	Fairies Wear Boots	1	0.05	50	9.92
Imagine	Feel It	1	0.05	50	9.92
Imagine	God	1	0.05	50	9.92
Imagine	Greetings from Earth, Pt. 1	1	0.05	50	9.92
Imagine	Guess Who's Back	1	0.05	50	9.92
Immigrant Song	Heartbreaker	1	0.05	50	9.92
In Bloom	Aos Leões	1	0.05	100	19.84
In Bloom	Caso Você Queira Saber	1	0.05	100	19.84
In Bloom	Dance	1	0.05	100	19.84
In Bloom	Demorou!	1	0.05	100	19.84
In Bloom	Home Sweet Home	1	0.05	100	19.84
In The Evening	Fool In The Rain	1	0.05	100	19.84
In Your Honor	Epic	1	0.05	100	19.84
In Your Honor	Free Me	1	0.05	100	19.84
Indios	Achilles Last Stand	1	0.05	100	19.84
Indios	Dezesseis	1	0.05	100	9.92
Inject The Venom	Breaking The Rules	1	0.05	100	19.84
Inject The Venom	Evil Walks	1	0.05	100	19.84
Innuendo	Breakthru	1	0.05	100	19.84
Innuendo	Headlong	1	0.05	100	19.84
Insensível	Collaborators	1	0.05	100	19.84
Insensível	Deus Ex Machina	1	0.05	100	19.84
Inside Job	Alive	1	0.05	100	19.84
Inside Job	Bicycle Race	1	0.05	100	19.84
Inside Job	Bush Doctor	1	0.05	100	19.84
Inside Job	Elderly Woman Behind The Counter In A Small Town	1	0.05	100	19.84
Inside Job	Get Right	1	0.05	100	19.84
Inside Job	Given To Fly	1	0.05	100	19.84
Inside Job	Go	1	0.05	100	19.84
Inside Job	Hip Hop Rio	1	0.05	100	19.84
Instant Karma	Cold Turkey	1	0.05	100	19.84
Instant Karma	Greetings from Earth, Pt. 2	1	0.05	100	19.84
Instinto Colectivo	Armadura	1	0.05	100	19.84
Instinto Colectivo	Billie Jean	1	0.05	100	19.84
Instinto Colectivo	Commercial 2	1	0.05	100	19.84
Instinto Colectivo	Die Walküre: The Ride of the Valkyries	1	0.05	100	19.84
Instinto Colectivo	Four Walled World	1	0.05	100	19.84
Interlude Zumbi	Carolina Hard-Core Ecstasy	1	0.05	100	19.84
Interlude Zumbi	Communication Breakdown(2)	1	0.05	100	19.84
Interlude Zumbi	Doutor	1	0.05	100	19.84
Into The Fire	A Touch Away	1	0.05	100	19.84
Into The Fire	Hush	1	0.05	100	19.84
Into The Fire	I Need Love	1	0.05	100	19.84
Into The Light	Cry For Love	1	0.05	100	19.84
Into The Light	Grito De Alerta	1	0.05	100	19.84
Intro	Aos Leões	1	0.05	50	9.92
Intro	Caso Você Queira Saber	1	0.05	50	9.92
Intro	Dance	1	0.05	50	9.92
Intro	Demorou!	1	0.05	50	9.92
Intro	Ghost Of The Navigator	1	0.05	50	4.96
Intro	Home Sweet Home	1	0.05	50	9.92
Intro	In Bloom	1	0.05	50	9.92
Intro / Stronger Than Me	F**k Me Pumps	1	0.05	100	19.84
Invisible Kid	A Moça e a Chuva	1	0.05	100	19.84
Invisible Kid	Beijo Partido	1	0.05	100	19.84
Invisible Kid	Blues For Pablo (Alternate Take)	1	0.05	100	19.84
Invisible Kid	Eye Of The Beholder	1	0.05	100	19.84
Ipiranga 2001	Carolina Hard-Core Ecstasy	1	0.05	100	19.84
Ipiranga 2001	Communication Breakdown(2)	1	0.05	100	19.84
Ipiranga 2001	Doutor	1	0.05	100	19.84
Ipiranga 2001	Interlude Zumbi	1	0.05	100	19.84
Iron Maiden	09 - Iron Maiden	1	0.05	33.33	6.61
Iron Maiden	Afraid To Shoot Strangers	1	0.05	33.33	3.31
Iron Maiden	Beach Sequence	1	0.05	33.33	6.61
Iron Maiden	Big Wave	1	0.05	33.33	6.61
Iron Maiden	Bring Your Daughter... To The Slaughter	1	0.05	33.33	6.61
Iron Maiden	Can't Keep	1	0.05	33.33	6.61
Iron Maiden	Dance Of Death	1	0.05	33.33	6.61
Iron Maiden	Die With Your Boots On	1	0.05	33.33	6.61
Iron Maiden	Dream Of Mirrors	2	0.1	66.67	6.61
Iron Maiden	Fear Of The Dark	1	0.05	33.33	3.31
Iron Maiden	Hallowed Be Thy Name	1	0.05	33.33	2.2
Iron Maiden	Heaven Can Wait	1	0.05	33.33	2.2
Iron Man	Corduroy	1	0.05	100	19.84
Iron Man	Heart In Your Hand	1	0.05	100	19.84
Iron Man/Children of the Grave	God	1	0.05	100	19.84
Iron Man/Children of the Grave	Greetings from Earth, Pt. 1	1	0.05	100	19.84
Iron Man/Children of the Grave	Imagine	1	0.05	100	9.92
Is This Love (Live)	Assum Preto	1	0.05	100	19.84
Is This Love (Live)	Bad, Bad Leroy Brown	1	0.05	100	19.84
Is This Love (Live)	Copacabana (Live)	1	0.05	100	19.84
Is This Love (Live)	Divirta-Se (Saindo Da Sua)	1	0.05	100	19.84
It Ain't Like That	Amazing	1	0.05	100	19.84
It Ain't Like That	Blood In The Wall	1	0.05	100	19.84
It Ain't Like That	Bored To Tears	1	0.05	100	19.84
It Ain't Like That	Carol	1	0.05	100	19.84
It Ain't Like That	Doesn't Remind Me	1	0.05	100	19.84
It Ain't Like That	Exploder	1	0.05	100	19.84
It Doesn't Matter	Heliopolis	1	0.05	100	19.84
It Was A Very Good Year	Dujji	1	0.05	100	19.84
It Was A Very Good Year	Entrando Na Sua (Intro)	1	0.05	100	19.84
It Was A Very Good Year	Esperando Na Janela	1	0.05	100	19.84
It Was A Very Good Year	Everlong	1	0.05	100	19.84
It Was A Very Good Year	Friend Of A Friend	1	0.05	100	19.84
It's A Hard Life	Amor Demais	1	0.05	100	19.84
It's A Hard Life	Gavioes 2001	1	0.05	100	19.84
It's A Man's Man's Man's World	Don't Look To The Eyes Of A Stranger	1	0.05	100	19.84
It's A Man's Man's Man's World	Get Up Offa That Thing	1	0.05	100	19.84
It's A Man's Man's Man's World	Hey America	1	0.05	100	19.84
It's Just A Thought	Hey Tonight	1	0.05	100	19.84
It's Only Love	Aeroplane Flies High	1	0.05	100	19.84
It's Only Love	Ava Adore	1	0.05	100	19.84
It's Only Love	Cherub Rock	1	0.05	100	19.84
It's Only Love	Evil Ways	1	0.05	100	19.84
It's Only Love	Finding My Way	1	0.05	100	19.84
It's Only Love	Garota Nacional	1	0.05	100	19.84
It's Only Love	Hands All Over	1	0.05	100	19.84
It's The End Of The World As We Know It (And I Feel Fine)	Country Feedback	1	0.05	100	19.84
It's The End Of The World As We Know It (And I Feel Fine)	Endgame	1	0.05	100	19.84
It's The End Of The World As We Know It (And I Feel Fine)	Green Grow The Rushes	1	0.05	100	19.84
It's The End Of The World As We Know It (And I Feel Fine)	I Believe	1	0.05	100	19.84
It's Too Funky In Here	Blow Your Mind	1	0.05	100	19.84
It's Too Funky In Here	Get Up (I Feel Like Being A) Sex Machine	1	0.05	100	19.84
It's a Mistake	Be Good Johnny	1	0.05	100	19.84
Jacob's Ladder	Anything Goes	1	0.05	100	19.84
Jacob's Ladder	Civil War	1	0.05	100	19.84
Jacob's Ladder	Don't Cry	1	0.05	100	19.84
Jaded	Eu Apenas Queria Que Voçê Soubesse	1	0.05	100	19.84
Jah Seh No	Arc	1	0.05	100	19.84
Jah Seh No	Bohemian Rhapsody	1	0.05	100	19.84
Jah Seh No	Brain Damage	1	0.05	100	19.84
Jah Seh No	Crystal Ball	1	0.05	100	19.84
Jah Seh No	F*Ckin' Up	1	0.05	100	19.84
Jah Seh No	Ghost	1	0.05	100	19.84
Jah Seh No	Gone	1	0.05	100	19.84
Jailbait	A Moça e a Chuva	1	0.05	100	19.84
Jailbait	Beijo Partido	1	0.05	100	19.84
Jailbait	Blues For Pablo (Alternate Take)	1	0.05	100	19.84
Jailbait	Eye Of The Beholder	1	0.05	100	19.84
Jailbait	Invisible Kid	1	0.05	100	19.84
Janie's Got A Gun	Angel	1	0.05	100	19.84
Janie's Got A Gun	Deuces Are Wild	1	0.05	100	19.84
Janie's Got A Gun	Dog Eat Dog	1	0.05	100	19.84
Jealous Guy	Beautiful Boy	1	0.05	100	19.84
Jealous Guy	Gimme Some Truth	1	0.05	100	9.92
Jean Pierre (Live)	As Rosas Não Falam (Beth Carvalho)	1	0.05	100	19.84
Jean Pierre (Live)	Como É Duro Trabalhar	1	0.05	100	19.84
Jean Pierre (Live)	Compulsion	1	0.05	100	19.84
Jean Pierre (Live)	Drum Boogie	1	0.05	100	19.84
Jean Pierre (Live)	Green River	1	0.05	100	19.84
Jeito Faceiro	Brasília 5:31	1	0.05	100	19.84
Jeru	Black Satin	1	0.05	100	19.84
Jeru	Blue Rythm Fantasy	1	0.05	100	19.84
Jeru	Bop Boogie	1	0.05	100	19.84
Jeru	Chão De Estrelas	1	0.05	100	19.84
Jeru	El Farol	1	0.05	100	19.84
Jeru	Fora Da Ordem	1	0.05	100	19.84
Jeru	Houses Of The Holy	1	0.05	100	19.84
Jerusalem	Body Count Anthem	1	0.05	100	19.84
Jerusalem	Bowels Of The Devil	1	0.05	100	19.84
Jerusalem	Cornucopia	1	0.05	100	19.84
Jerusalem	Dandelion	1	0.05	100	19.84
Jerusalem	Esse Cara	1	0.05	100	19.84
Jerusalem	Evil Woman	1	0.05	100	19.84
Jerusalem	Heart Of Gold	1	0.05	100	19.84
Jesus Christ Pose	Burden In My Hand	1	0.05	100	19.84
Jesus Christ Pose	Eye	1	0.05	100	19.84
Jesus Christ Pose	Flower	1	0.05	100	19.84
Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home	I Am	1	0.05	100	19.84
Ji Yeon	Armadura	1	0.05	100	19.84
Ji Yeon	Billie Jean	1	0.05	100	19.84
Ji Yeon	Commercial 2	1	0.05	100	19.84
Ji Yeon	Die Walküre: The Ride of the Valkyries	1	0.05	100	19.84
Ji Yeon	Four Walled World	1	0.05	100	19.84
Ji Yeon	Instinto Colectivo	1	0.05	100	19.84
Join Together	Baba O'Riley	1	0.05	100	19.84
Join Together	I Can See For Miles	1	0.05	100	19.84
Join Together	I Can't Explain	1	0.05	100	9.92
Join Together	I'm A Boy	1	0.05	100	19.84
Jorge Da Capadócia	Apesar De Você	1	0.05	100	19.84
Journey To Arnhemland	Always With Me, Always With You	1	0.05	100	19.84
Journey To Arnhemland	Cafezinho	1	0.05	100	19.84
Journey To Arnhemland	Comin' Home	1	0.05	100	9.92
Journey To Arnhemland	Deeper Underground	1	0.05	100	19.84
Journey To Arnhemland	Encontrar Alguém	1	0.05	100	19.84
Journey To Arnhemland	Hey Joe	1	0.05	100	19.84
Juazeiro	Beira Mar	1	0.05	100	19.84
Juazeiro	Come Fly With Me	1	0.05	100	19.84
Juazeiro	Disenchanted Lullaby	1	0.05	100	19.84
Juazeiro	Estrela (Live)	1	0.05	100	19.84
Juazeiro	Hey, Johnny Park!	1	0.05	100	19.84
Judgement Of Heaven	De Ja Vu	1	0.05	100	19.84
Judgement Of Heaven	Gangland	1	0.05	100	19.84
Jump	Big Machine	1	0.05	100	19.84
Jump	Dancing In The Street	1	0.05	100	19.84
Jump	Eruption	2	0.1	200	19.84
Jump	Feel Your Love Tonight	1	0.05	100	19.84
Jump In The Fire	(Anesthesia) Pulling Teeth	1	0.05	100	19.84
Jungle Drums	Chão de Giz (Elba Ramalho)	1	0.05	100	19.84
Jupiter, the Bringer of Jollity	Call Me a Dog	1	0.05	100	19.84
Jupiter, the Bringer of Jollity	Canon and Gigue in D Major: I. Canon	1	0.05	100	19.84
Jupiter, the Bringer of Jollity	Chega no Suingue	1	0.05	100	19.84
Jupiter, the Bringer of Jollity	Din Din Wo (Little Child)	1	0.05	100	19.84
Jupiter, the Bringer of Jollity	Disappearing Act	1	0.05	100	19.84
Just Ain't Good Enough	Anthem	1	0.05	100	19.84
Just Ain't Good Enough	Fica	1	0.05	100	19.84
Just Ain't Good Enough	Get On Top	1	0.05	100	19.84
Just Ain't Good Enough	If You Don't Know Me By Now	1	0.05	100	19.84
Just Ain't Good Enough	If You Have To Ask	1	0.05	100	19.84
Just Friends	I Heard Love Is Blind	1	0.05	100	19.84
Já Foi	A Cor Do Sol	1	0.05	50	9.92
Já Foi	Been A Son	1	0.05	50	9.92
Já Foi	Breed	1	0.05	50	9.92
Já Foi	Denúncia	1	0.05	50	9.92
Já Foi	Firmamento	2	0.1	100	9.92
Já Foi	Folhas Secas	1	0.05	50	9.92
KKK Bitch	Body Count	1	0.05	100	19.84
Karelia Suite, Op.11: 2. Ballade (Tempo Di Menuetto)	Fantasia On Greensleeves	1	0.05	100	19.84
Kickstart My Heart	Dirty Love	1	0.05	100	19.84
Kickstart My Heart	Idolatrada	1	0.05	100	19.84
Kindergarten	Cuckoo For Caca	1	0.05	100	19.84
Kindergarten	Falling To Pieces	1	0.05	100	19.84
King For A Day	Blow Your Mind	1	0.05	50	9.92
King For A Day	Epic	1	0.05	50	9.92
King For A Day	Free Me	1	0.05	50	9.92
King For A Day	Get Up (I Feel Like Being A) Sex Machine	1	0.05	50	9.92
King For A Day	In Your Honor	1	0.05	50	9.92
King For A Day	It's Too Funky In Here	1	0.05	50	9.92
King In Crimson	Book Of Thel	1	0.05	100	19.84
King In Crimson	Evil Dick	1	0.05	100	19.84
King Nothing	Ain't My Bitch	1	0.05	100	19.84
King Nothing	Bleeding Me	1	0.05	100	19.84
King Of Pain	Anyway, Anyhow, Anywhere	1	0.05	100	19.84
King Of Pain	Can't Stand Losing You	1	0.05	100	19.84
King Of Pain	Get Off Of My Cloud	1	0.05	100	19.84
King Of Pain	Gimmie Shelters	1	0.05	100	19.84
King Of Pain	Gyroscope	1	0.05	100	19.84
King Of Pain	Heaven Coming Down	1	0.05	100	19.84
Knocking At Your Back Door	Admirável Gado Novo	1	0.05	100	19.84
Knocking At Your Back Door	Child In Time	1	0.05	100	19.84
Knocking At Your Back Door	Drifter	1	0.05	100	9.92
Know Your Rights	Clash City Rockers	1	0.05	100	19.84
Know Your Rights	Edie (Ciao Baby)	1	0.05	100	19.84
L'Arc En Ciel De Miles	Breakdown	1	0.05	100	19.84
L'Arc En Ciel De Miles	Colibri	1	0.05	100	19.84
L'Arc En Ciel De Miles	Estranged	1	0.05	100	19.84
L'Avventura	Are You Gonna Go My Way	1	0.05	100	19.84
L'Avventura	Believe	1	0.05	100	9.92
L'Avventura	Dazed And Confused	1	0.05	100	9.92
La Puesta Del Sol	Anthem	1	0.05	100	19.84
La Puesta Del Sol	Fica	1	0.05	100	19.84
La Puesta Del Sol	Get On Top	1	0.05	100	19.84
La Puesta Del Sol	If You Don't Know Me By Now	1	0.05	100	19.84
La Puesta Del Sol	If You Have To Ask	1	0.05	100	19.84
La Puesta Del Sol	Just Ain't Good Enough	1	0.05	100	19.84
Lament	Coração De Estudante	1	0.05	100	19.84
Lament	Fast And Loose	1	0.05	100	19.84
Lament	Harvester Of Sorrow	1	0.05	100	19.84
Lamento De Carnaval	Beira Mar	1	0.05	100	19.84
Lamento De Carnaval	Come Fly With Me	1	0.05	100	19.84
Lamento De Carnaval	Disenchanted Lullaby	1	0.05	100	19.84
Lamento De Carnaval	Estrela (Live)	1	0.05	100	19.84
Lamento De Carnaval	Hey, Johnny Park!	1	0.05	100	19.84
Lamento De Carnaval	Juazeiro	1	0.05	100	19.84
Lamento Sertanejo	Beira Mar	1	0.05	100	19.84
Lamento Sertanejo	Come Fly With Me	1	0.05	100	19.84
Lamento Sertanejo	Disenchanted Lullaby	1	0.05	100	19.84
Lamento Sertanejo	Estrela (Live)	1	0.05	100	19.84
Lamento Sertanejo	Hey, Johnny Park!	1	0.05	100	19.84
Lamento Sertanejo	Juazeiro	1	0.05	100	19.84
Lamento Sertanejo	Lamento De Carnaval	1	0.05	100	19.84
Lanterna Dos Afogados	Bark at the Moon	1	0.05	100	19.84
Lanterna Dos Afogados	Believer	1	0.05	100	19.84
Last Caress/Green Hell	American Woman	1	0.05	100	19.84
Last Caress/Green Hell	Brumário	1	0.05	100	19.84
Last Caress/Green Hell	De Noite Na Cama	1	0.05	100	19.84
Last Caress/Green Hell	Dezesseis	1	0.05	100	9.92
Last Caress/Green Hell	Heavy Love Affair	1	0.05	100	19.84
Last Caress/Green Hell	Honolulu	1	0.05	100	19.84
Last Cup Of Sorrow	Ashes To Ashes	1	0.05	100	19.84
Last Cup Of Sorrow	Home Sick Home	1	0.05	100	19.84
Last Night On Earth	Do You Feel Loved	1	0.05	100	19.84
Last Night On Earth	If God Will Send His Angels	1	0.05	100	19.84
